ImageName,FirstMatchImage,FirstMatchScore,SecondMatchImage,SecondMatchScore,ThirdMatchImage,ThirdMatchScore,FourthMatchImage,FourthMatchScore,FifthMatchImage,FifthMatchScore
3f116bbf04e96b582e535b95edfcf624.jpg,63fc7583e20c46444c634c32e29db9b8.jpg,34,02f29ceb6972d945f1161e4509710c75.jpg,29,9c1cd2644a8fedc78880644b64d65699.jpg,23,9bb46cc88dde43d723602cc2759920ae.jpg,16,62b3051d93d3dbd47fde8ecfe09e2c11.jpg,12
58961badc31bc005ee398bac7a568103.jpg,8ec3d96b034717fc22bef492d962c2d1.jpg,33,2877b29da752f429e2126878e1fab12e.jpg,32,c5d1a2f899d27fff511d7711cad02a97.jpg,25,a296741a7bcad74c1f5693a18862fc12.jpg,21,c876a246641b8f2f5e540d6a10f1245a.jpg,17
eb256d8c4eee2c257419d1cf628fdb50.jpg,7aef0940322baa6a37f2fb731b823fae.jpg,32,3b69d01bc9ce9a11b32fd64b107cbcfa.jpg,28,4ee4e988ea98044d18dfec11f2efecb4.jpg,23,5c585a761c36ad8737ab77e27355dc0a.jpg,17,51b6bbd800e739bcc716435e7d2d9349.jpg,17
e8d40eddfbb0967ed857007134270103.jpg,fea4bc57a729df66d1feb839268d64c4.jpg,37,0db3963234841ac3abe223d3fe40a381.jpg,34,ae685e7a3f1aaf6561291612fe358a2a.jpg,24,21b4305e1af1fb5f35376bf13ad49be1.jpg,23,c876a246641b8f2f5e540d6a10f1245a.jpg,17
5838d38ba154dc77cf184fd46e59c76d.jpg,57d942e04708b3c335a53effdd0bea74.jpg,46,0f341f02a2e048eb75c4eadc0dad586e.jpg,44,c8894b890f2ee9ab44d55bda65c0248b.jpg,31,d10b4154d39c803ca12ee88fb8b5bb8a.jpg,29,5a75e2220be0bdfee6c23657959684a8.jpg,25
e257749333a573d80a039a10af0cc9f4.jpg,85b605273147b07677fd68b95126ff07.jpg,27,ffc5d4080412c895a0d44c10c626b643.jpg,22,e660b5316ed2d85b8bf1aff825d627db.jpg,19,6bb3ac11d36533324151596c8be756fc.jpg,13,7aeea434dbf030666ddfdbefacd651d3.jpg,13
6bb3ac11d36533324151596c8be756fc.jpg,e660b5316ed2d85b8bf1aff825d627db.jpg,33,d5cd76ede4ed1e8f6be8fe24bbb81001.jpg,27,85b605273147b07677fd68b95126ff07.jpg,20,9bb46cc88dde43d723602cc2759920ae.jpg,17,e257749333a573d80a039a10af0cc9f4.jpg,12
041282e14f8dcb73525b31dc5e8d392c.jpg,1375ec3bfb0b7563cd6c33082200ae09.jpg,43,b6cfd21eb0040d7c820453124f34b420.jpg,43,59e85f62def1d1482e7aa3ca306b3bee.jpg,32,6bc701ebc2384f30b71c3c4440d5683a.jpg,32,313d4e105ba3c0018c85221abff1daa9.jpg,26
c51f720554d26b29ab5cb42e3587e2a6.jpg,b1bb2262ba95c2c42640243f535d7dae.jpg,31,7b00870e9973a67c4a0bdf56632dd425.jpg,25,74dcb03a4a41024e3332555143ad9c84.jpg,18,5ffdb72ad448309d2f33f74127e5572b.jpg,14,5537047531ebe6705b0b9e8e1d029732.jpg,13
51b6bbd800e739bcc716435e7d2d9349.jpg,a296741a7bcad74c1f5693a18862fc12.jpg,30,4ee4e988ea98044d18dfec11f2efecb4.jpg,29,2877b29da752f429e2126878e1fab12e.jpg,22,7aef0940322baa6a37f2fb731b823fae.jpg,20,58961badc31bc005ee398bac7a568103.jpg,17
b6cfd21eb0040d7c820453124f34b420.jpg,6bc701ebc2384f30b71c3c4440d5683a.jpg,44,041282e14f8dcb73525b31dc5e8d392c.jpg,39,313d4e105ba3c0018c85221abff1daa9.jpg,32,1375ec3bfb0b7563cd6c33082200ae09.jpg,30,59e85f62def1d1482e7aa3ca306b3bee.jpg,24
b412fe3886d3d223343eb211ec49adf1.jpg,92e684642cbabc714b885dcbbf8c1669.jpg,19,21e588b5b8e292c44522f345f9ad1461.jpg,13,b4a9cf965e24f86eaa95fb62ffefa063.jpg,9,61488dd9074a5bb09f58fae2171ef7b6.jpg,7,bce6e16508682a1edade34c61ae3d68e.jpg,7
