ImageName,FirstMatchImage,FirstMatchScore,SecondMatchImage,SecondMatchScore,ThirdMatchImage,ThirdMatchScore,FourthMatchImage,FourthMatchScore,FifthMatchImage,FifthMatchScore
5a75e2220be0bdfee6c23657959684a8.jpg,5a75e2220be0bdfee6c23657959684a8.jpg,100,5838d38ba154dc77cf184fd46e59c76d.jpg,25,57d942e04708b3c335a53effdd0bea74.jpg,22,58c333726037fedfa67f16ae70c0ee7d.jpg,11,53206dda92e1e481d8a98ae438f23548.jpg,9
58961badc31bc005ee398bac7a568103.jpg,58961badc31bc005ee398bac7a568103.jpg,100,51b6bbd800e739bcc716435e7d2d9349.jpg,16,5a8ac0e3c66030583bc936887daaf565.jpg,3,5a75e2220be0bdfee6c23657959684a8.jpg,1,5838d38ba154dc77cf184fd46e59c76d.jpg,1
5838d38ba154dc77cf184fd46e59c76d.jpg,5838d38ba154dc77cf184fd46e59c76d.jpg,100,57d942e04708b3c335a53effdd0bea74.jpg,46,5a75e2220be0bdfee6c23657959684a8.jpg,25,58c333726037fedfa67f16ae70c0ee7d.jpg,19,53206dda92e1e481d8a98ae438f23548.jpg,5
51b6bbd800e739bcc716435e7d2d9349.jpg,51b6bbd800e739bcc716435e7d2d9349.jpg,100,58961badc31bc005ee398bac7a568103.jpg,16,5a8ac0e3c66030583bc936887daaf565.jpg,2,5a75e2220be0bdfee6c23657959684a8.jpg,1,5838d38ba154dc77cf184fd46e59c76d.jpg,1
5aa0075aabea243846f34a099a0291ef.jpg,5aa0075aabea243846f34a099a0291ef.jpg,100,588ad34c0825fd8c62c622eaa89f79fa.jpg,2,5a75e2220be0bdfee6c23657959684a8.jpg,2,5a8ac0e3c66030583bc936887daaf565.jpg,1,58c333726037fedfa67f16ae70c0ee7d.jpg,1
53206dda92e1e481d8a98ae438f23548.jpg,53206dda92e1e481d8a98ae438f23548.jpg,100,5a75e2220be0bdfee6c23657959684a8.jpg,9,57d942e04708b3c335a53effdd0bea74.jpg,6,5838d38ba154dc77cf184fd46e59c76d.jpg,5,58c333726037fedfa67f16ae70c0ee7d.jpg,4
57d942e04708b3c335a53effdd0bea74.jpg,57d942e04708b3c335a53effdd0bea74.jpg,100,5838d38ba154dc77cf184fd46e59c76d.jpg,46,5a75e2220be0bdfee6c23657959684a8.jpg,22,58c333726037fedfa67f16ae70c0ee7d.jpg,22,53206dda92e1e481d8a98ae438f23548.jpg,6
58c333726037fedfa67f16ae70c0ee7d.jpg,58c333726037fedfa67f16ae70c0ee7d.jpg,100,57d942e04708b3c335a53effdd0bea74.jpg,22,5838d38ba154dc77cf184fd46e59c76d.jpg,19,5a75e2220be0bdfee6c23657959684a8.jpg,11,53206dda92e1e481d8a98ae438f23548.jpg,4
588ad34c0825fd8c62c622eaa89f79fa.jpg,588ad34c0825fd8c62c622eaa89f79fa.jpg,100,5aa0075aabea243846f34a099a0291ef.jpg,2,5a75e2220be0bdfee6c23657959684a8.jpg,2,5838d38ba154dc77cf184fd46e59c76d.jpg,1,57d942e04708b3c335a53effdd0bea74.jpg,1
5a8ac0e3c66030583bc936887daaf565.jpg,5a8ac0e3c66030583bc936887daaf565.jpg,100,58961badc31bc005ee398bac7a568103.jpg,3,51b6bbd800e739bcc716435e7d2d9349.jpg,2,53206dda92e1e481d8a98ae438f23548.jpg,2,5aa0075aabea243846f34a099a0291ef.jpg,1
